name,number,faculties,type,credits
Algorithms,67504,"CS, CSM, CB, ST, CSP, CSE",,
Introduction to Probability and Statistics,80430,"CS, CSE, CB, CSC, EE",,
Introduction to Mathematical Logic for Programmars,67501,"CS, CSE",,
OOP,67125,"CS, CSE, CSP, CB, ST, CSM",,
NAND,67925,"CS, CSM, CSE, CSP, ST, CSC",,
Infinitisimal Calculus 3,80415,"CSM, M",,
Probabiloty Theory 1,80420,"CSM, M",,
Intermediate Macroeconomics,57305,CSE,,
Price Theory 1,57307,CSE,,
Analytical Mechanics,77303,"CSP, PC",,
Waves and Optics,77305,"CSP, PC",,
Probabiloty Theory and Applications,80312,CSP,,
Linear Algebra 2,80135,CB,,
Biochemistry of The Cell ,72120,CB,,
Introduction to Statistics,52003,ST,,
Data Structures,67109,"CSC, EE",,
Programming Workshop in C/C++,67312,EE,,
Neurobiology of development and learning,6168,CSC,,
Introduction to Electrical Engireering,83335,EE,,
Waves ans Fundamentals of Modern Physics 1,83325,EE,,
Algebric Structures 1,80445,M,,
Mathematichal Logic 1,80423,M,,
Equations of Mathematical Physics,77313,PC,,
Physical Chemistry B,69301,PC,,
