Timestamp,האם נכשלת במועד א?,מה היה ציון הבחינה במועד א?,מה היה הציון הסופי לאחר מועד א?,האם עשית מועד ב בעבר?,האם בעבר ניגשת למועד ב ושיפרת את ציון מועד א?,האם היית בטוח/ה שתוכל/י לשפר את ציון הבחינה?,כמה זמן היה לך ללמוד למועד ב? בימים,איך היית מגדיר/ה את דרגת הקושי של המבחן?,מה סוג הבחינה?,צורת ההיבחנות?,האם ניתן פקטור לציון במועד א?,האם בדרך כלל במקצוע הבחינה מבחני מועד ב קשים יותר ממבחני מועד א?,האם ניגשת למועד ב בסוף?
8/9/2022 14:43:18,לא,80-89,80-89,כן,כן,כן,7+,קשה,שילוב של השניים,דרך מחשב,לא,כן,כן
8/9/2022 14:50:35,לא,55-69,80-89,לא,לא,כן,5,בינוני,פתוח,ידנית,כן,כן,כן
8/9/2022 15:03:49,לא,55-69,90-100,כן,כן,אולי,6,בינוני,פתוח,ידנית,לא,לא יודע/ת,כן
8/9/2022 15:04:50,כן,פחות מ 55,פחות מ 60,לא,,אולי,7+,בינוני,פתוח,ידנית,לא,לא יודע/ת,כן
8/9/2022 15:05:24,לא,80-89,80-89,לא,לא,אולי,7+,בינוני,פתוח,ידנית,לא,כן,לא
8/9/2022 15:05:34,לא,55-69,70-79,כן,כן,לא,3,קשה,פתוח,ידנית,כן,כן,כן
8/9/2022 15:09:27,כן,55-69,60-69,כן,כן,כן,7+,קשה,שילוב של השניים,ידנית,כן,לא יודע/ת,כן
8/9/2022 15:09:49,לא,70-79,90-100,כן,כן,אולי,7+,בינוני,פתוח,ידנית,לא,לא,כן
8/9/2022 15:09:50,לא,55-69,70-79,כן,כן,כן,7+,קשה מאוד,שילוב של השניים,ידנית,לא,כן,כן
8/9/2022 15:09:56,כן,פחות מ 55,80-89,לא,לא,כן,7+,קשה מאוד,שילוב של השניים,ידנית,כן,לא יודע/ת,כן
8/9/2022 15:10:36,לא,55-69,70-79,כן,כן,כן,7+,קשה,פתוח,ידנית,לא,לא יודע/ת,כן
8/9/2022 15:11:01,לא,80-89,80-89,כן,כן,כן,5,קשה,שילוב של השניים,דרך מחשב,לא,לא יודע/ת,כן
8/9/2022 15:13:13,לא,80-89,80-89,כן,כן,לא,7+,קשה,פתוח,ידנית,לא,לא יודע/ת,כן
8/9/2022 15:14:50,לא,55-69,70-79,כן,כן,אולי,7+,קשה מאוד,פתוח,ידנית,כן,כן,לא
8/9/2022 15:15:29,לא,70-79,70-79,כן,כן,כן,7+,קשה,פתוח,ידנית,לא,לא יודע/ת,כן
8/9/2022 15:15:54,לא,70-79,80-89,לא,לא,אולי,7+,קשה מאוד,פתוח,ידנית,כן,לא יודע/ת,לא
8/9/2022 15:16:24,לא,פחות מ 55,60-69,כן,כן,לא,7+,קשה,פתוח,ידנית,לא,כן,לא
8/9/2022 15:16:35,לא,פחות מ 55,60-69,כן,כן,לא,5,קשה מאוד,פתוח,ידנית,לא,כן,לא
8/9/2022 15:16:52,כן,פחות מ 55,פחות מ 60,כן,כן,אולי,5,קשה,שילוב של השניים,ידנית,לא,לא יודע/ת,כן
8/9/2022 15:18:24,כן,פחות מ 55,פחות מ 60,כן,כן,כן,7+,בינוני,שילוב של השניים,דרך מחשב,לא,לא יודע/ת,כן
8/9/2022 15:19:41,כן,55-69,60-69,כן,כן,לא,5,קשה מאוד,שילוב של השניים,ידנית,כן,כן,כן
8/9/2022 15:22:51,כן,פחות מ 55,פחות מ 60,כן,לא,כן,5,קשה מאוד,פתוח,ידנית,לא,לא יודע/ת,כן
8/9/2022 15:24:53,לא,55-69,70-79,כן,כן,לא,4,קשה,פתוח,ידנית,כן,לא יודע/ת,לא
8/9/2022 15:24:58,לא,55-69,90-100,כן,כן,כן,7+,קשה,פתוח,ידנית,לא,לא,כן
8/9/2022 15:26:19,לא,פחות מ 55,60-69,כן,כן,לא,5,בינוני,פתוח,ידנית,לא,לא,כן
8/9/2022 15:27:20,כן,פחות מ 55,פחות מ 60,כן,כן,כן,6,קשה,פתוח,ידנית,לא,לא,כן
8/9/2022 15:32:02,לא,55-69,60-69,כן,כן,לא,3,קשה,שילוב של השניים,ידנית,לא,כן,כן
8/9/2022 15:32:13,כן,פחות מ 55,פחות מ 60,לא,לא,אולי,5,קשה מאוד,פתוח,ידנית,לא,לא יודע/ת,כן
8/9/2022 15:32:51,לא,80-89,90-100,כן,כן,כן,6,קשה,פתוח,דרך מחשב,לא,לא,כן
8/9/2022 15:33:22,לא,55-69,60-69,לא,לא,אולי,4,קשה,פתוח,ידנית,לא,כן,לא
8/9/2022 15:34:56,לא,70-79,80-89,כן,לא,כן,6,קשה מאוד,פתוח,ידנית,לא,לא יודע/ת,כן
8/9/2022 15:37:14,לא,70-79,80-89,כן,כן,כן,5,בינוני,פתוח,ידנית,לא,לא,כן
8/9/2022 15:42:03,כן,פחות מ 55,פחות מ 60,כן,כן,לא,5,קשה,שילוב של השניים,ידנית,לא,כן,כן
8/9/2022 15:43:54,כן,פחות מ 55,פחות מ 60,כן,כן,כן,7+,קשה מאוד,שילוב של השניים,דרך מחשב,לא,כן,כן
8/9/2022 15:44:34,לא,55-69,70-79,כן,כן,אולי,6,קשה,פתוח,ידנית,לא,לא יודע/ת,כן
8/9/2022 15:45:19,לא,90-100,90-100,כן,כן,לא,7+,בינוני,פתוח,ידנית,לא,לא יודע/ת,לא
8/9/2022 15:46:10,לא,90-100,90-100,כן,כן,אולי,6,בינוני,שילוב של השניים,דרך מחשב,לא,לא יודע/ת,לא
8/9/2022 15:46:49,לא,55-69,60-69,כן,כן,כן,6,בינוני,אמריקאי,ידנית,לא,לא יודע/ת,כן
8/9/2022 15:47:23,לא,80-89,80-89,כן,כן,אולי,7+,בינוני,פתוח,ידנית,לא,לא,כן
